"id_studente" "tipo_laurea_triennale" "voto_lt" "voto_lm" "numero_appelli" "score" "appello" "domanda"
39 "stat padova" "105" "" 1 NA "20140703" "1"
40 "stat padova" "88" "91" 6 NA "20140703" "1"
41 "stat NA" "110L" "110L" 1 NA "20140703" "1"
42 "stat bicocca" "110L" "110L" 2 NA "20140703" "1"
43 "stat padova" "104" "93" 7 NA "20140703" "1"
44 "stat padova" "104" "99" 2 NA "20140703" "1"
45 "stat padova" "93" "" NA NA "20140703" "1"
46 "stat padova" "102" "103" 5 NA "20140703" "1"
47 "sociologia" "102" "110L" 2 NA "20140703" "1"
48 "stat padova" "106" "103" 2 NA "20140703" "1"
49 "stat padova" "110L" "102" 2 NA "20140703" "1"
50 "stat padova" "86" "96" 4 NA "20140703" "1"
51 "stat GE" "110L" "100" 1 NA "20140703" "1"
52 "stat padova" "107" "110L" 4 NA "20140703" "1"
53 "stat padova" "90" "94" 4 NA "20140703" "1"
54 "stat padova" "107" "110L" NA NA "20140703" "1"
55 "stat padova" "96" "92" 2 NA "20140703" "1"
56 "stat padova" "96" "94" 1 NA "20140703" "1"
57 "stat padova" "104" "100" 2 NA "20140703" "1"
58 "stat padova" "97" "93" 4 NA "20140703" "1"
59 "stat padova" "88" "92" 3 NA "20140703" "1"
60 "stat GE" "110" "99" 6 NA "20140703" "1"
61 "stat GE" "90" "84" 1 NA "20140703" "1"
62 "stat padova" "103" "92" 3 NA "20140703" "1"
63 "mat PD" "108" "110L" 1 NA "20140703" "1"
64 "stat padova" "" "" 4 NA "20140703" "1"
65 "stat padova" "110L" "102" 1 NA "20140703" "1"
66 "stat padova" "" "" NA NA "20140703" "1"
67 "stat padova" "" "" NA NA "20140703" "1"
68 "stat GE" "110" "104" 2 NA "20140703" "1"
69 "stat padova" "110L" "110L" 3 NA "20140703" "1"
70 "stat padova" "102" "96" 1 NA "20140703" "1"
71 "stat padova" "110L" "110L" 1 NA "20140703" "1"
72 "stat padova" "84" "98" 2 NA "20140703" "1"
73 "stat padova" "93" "" NA NA "20140703" "1"
74 "stat padova" "92" "91" 4 NA "20140703" "1"
75 "stat padova" "84" "" 2 NA "20140703" "1"
76 "stat padova" "110L" "110" NA NA "20140703" "1"
77 "stat padova" "102" "100" NA NA "20140703" "1"
78 "stat padova" "" "" NA NA "20140703" "1"
79 "stat BA" "102" "93" 1 NA "20140703" "1"
80 "stat BN" "110L" "110L" 1 NA "20140703" "1"
81 "stat padova" "108" "100" 1 NA "20140703" "1"
82 "stat padova" "110L" "100L" NA NA "20140703" "1"
83 "stat padova" "105" "105" NA NA "20140703" "1"
84 "stat padova" "97" "92" 2 NA "20140703" "1"
85 "stat Bicocca" "110L" "110L" 2 NA "20140703" "1"
86 "mat GE" "101" "97" 4 NA "20140703" "1"
87 "stat GE" "108" "100" 1 NA "20140703" "1"
88 "mat GE" "110L" "110L" 2 NA "20140703" "1"
89 "mat GE" "110" "107" 1 NA "20140703" "1"
90 "stat padova" "" "" NA NA "20140703" "1"
91 "stat padova" "103" "103" 2 NA "20140703" "1"
92 "stat padova" "" "" NA NA "20140703" "1"
93 "stat padova" "95" "91" 1 NA "20140703" "1"
94 "stat padova" "107" "107" 2 2 "20140703" "1"
95 "mat GE" "97" "100" 3 NA "20140703" "1"
96 "stat padova" "95" "107" 3 NA "20140703" "1"
97 "stat GE" "110L" "103" 2 NA "20140703" "1"
98 "stat padova" "91" "85" 4 NA "20140703" "1"
99 "stat padova" "93" "93" 2 NA "20140703" "1"
100 "stat GE" "107" "96" 1 NA "20140703" "1"
101 "econ azien BA" "102" "86" 3 NA "20140703" "1"
102 "stat padova" "107" "107" 1 NA "20140703" "1"
103 "stat padova" "110L" "105" 2 NA "20140703" "1"
104 "stat padova" "92" "98" 1 NA "20140703" "1"
105 "stat padova" "" "" NA NA "20140703" "1"
106 "stat padova" "" "" NA NA "20140703" "1"
107 "stat padova" "" "" NA NA "20140703" "1"
108 "stat padova" "110L" "110L" 1 3 "20140703" "1"
109 "stat BA" "110L" "92" 4 NA "20140703" "1"
110 "stat padova" "94" "96" 7 NA "20140703" "1"
111 "stat padova" "101" "" NA NA "20140703" "1"
1 "stat padova" "91" "95" 1 NA "20140703" "3"
2 "stat padova" "" "" 1 NA "20140703" "3"
3 "stat padova" "103" "103" 3 NA "20140703" "3"
4 "stat padova" "" "" NA NA "20140703" "3"
5 "stat padova" "110L" "110" 2 NA "20140703" "3"
6 "Econ. e manag. TN" "98" "101" 1 NA "20140703" "3"
7 "stat padova" "110L" "99" 1 NA "20140703" "3"
8 "stat padova" "110L" "110L" 1 NA "20140703" "3"
9 "stat padova" "98" "100" 3 NA "20140703" "3"
10 "stat padova" "106" "108" 2 NA "20140703" "3"
11 "stat VE" "110L" "110" 1 NA "20140703" "3"
12 "stat padova" "" "" NA NA "20140703" "3"
13 "stat padova" "110L" "110L" 3 NA "20140703" "3"
14 "stat padova" "108" "110L" 3 NA "20140703" "3"
15 "stat padova" "" "" NA NA "20140703" "3"
16 "stat padova" "105" "92" 1 NA "20140703" "3"
17 "stat bicocca" "104" "110L" 2 NA "20140703" "3"
18 "stat padova" "109" "97" 1 NA "20140703" "3"
19 "stat padova" "90" "84" 5 NA "20140703" "3"
20 "mat TN" "90" "102" 2 NA "20140703" "3"
21 "stat padova" "103" "110L" 3 NA "20140703" "3"
22 "mat CA" "110L" "110L" 1 NA "20140703" "3"
23 "stat padova" "110L" "100" 2 NA "20140703" "3"
24 "stat padova" "110L" "110" 1 NA "20140703" "3"
25 "stat bicocca" "110L" "96" 2 NA "20140703" "3"
26 "stat padova" "" "" NA NA "20140703" "3"
27 "stat padova" "" "" NA NA "20140703" "3"
28 "stat padova" "" "" NA NA "20140703" "3"
29 "stat padova" "107" "105" 3 NA "20140703" "3"
30 "stat padova" "94" "102" 1 NA "20140703" "3"
31 "stat padova" "102" "92" 3 NA "20140703" "3"
32 "stat padova" "106" "101" 2 NA "20140703" "3"
33 "stat padova" "110L" "110L" 2 NA "20140703" "3"
34 "stat NA" "110L" "106" 3 NA "20140703" "3"
35 "stat padova" "90" "91" 2 NA "20140703" "3"
36 "stat FI" "96" "93" 2 NA "20140703" "3"
37 "stat padova" "84" "" 3 NA "20140703" "3"
38 "mat CA" "106" "97" 1 NA "20140703" "3"
39 "stat padova" "105" "" 1 NA "20140703" "3"
40 "stat padova" "88" "91" 6 NA "20140703" "3"
41 "stat NA" "110L" "110L" 1 NA "20140703" "3"
42 "stat bicocca" "110L" "110L" 2 NA "20140703" "3"
43 "stat padova" "104" "93" 7 NA "20140703" "3"
44 "stat padova" "104" "99" 2 NA "20140703" "3"
45 "stat padova" "93" "" NA NA "20140703" "3"
46 "stat padova" "102" "103" 5 NA "20140703" "3"
47 "sociologia" "102" "110L" 2 NA "20140703" "3"
48 "stat padova" "106" "103" 2 NA "20140703" "3"
49 "stat padova" "110L" "102" 2 NA "20140703" "3"
50 "stat padova" "86" "96" 4 NA "20140703" "3"
51 "stat GE" "110L" "100" 1 NA "20140703" "3"
52 "stat padova" "107" "110L" 4 NA "20140703" "3"
53 "stat padova" "90" "94" 4 NA "20140703" "3"
54 "stat padova" "107" "110L" NA NA "20140703" "3"
55 "stat padova" "96" "92" 2 NA "20140703" "3"
56 "stat padova" "96" "94" 1 NA "20140703" "3"
57 "stat padova" "104" "100" 2 NA "20140703" "3"
58 "stat padova" "97" "93" 4 NA "20140703" "3"
59 "stat padova" "88" "92" 3 NA "20140703" "3"
60 "stat GE" "110" "99" 6 NA "20140703" "3"
61 "stat GE" "90" "84" 1 NA "20140703" "3"
62 "stat padova" "103" "92" 3 NA "20140703" "3"
63 "mat PD" "108" "110L" 1 NA "20140703" "3"
64 "stat padova" "" "" 4 NA "20140703" "3"
65 "stat padova" "110L" "102" 1 NA "20140703" "3"
66 "stat padova" "" "" NA NA "20140703" "3"
67 "stat padova" "" "" NA NA "20140703" "3"
68 "stat GE" "110" "104" 2 NA "20140703" "3"
69 "stat padova" "110L" "110L" 3 NA "20140703" "3"
70 "stat padova" "102" "96" 1 NA "20140703" "3"
71 "stat padova" "110L" "110L" 1 NA "20140703" "3"
72 "stat padova" "84" "98" 2 NA "20140703" "3"
73 "stat padova" "93" "" NA NA "20140703" "3"
74 "stat padova" "92" "91" 4 NA "20140703" "3"
75 "stat padova" "84" "" 2 NA "20140703" "3"
76 "stat padova" "110L" "110" NA NA "20140703" "3"
77 "stat padova" "102" "100" NA NA "20140703" "3"
78 "stat padova" "" "" NA NA "20140703" "3"
79 "stat BA" "102" "93" 1 NA "20140703" "3"
80 "stat BN" "110L" "110L" 1 NA "20140703" "3"
81 "stat padova" "108" "100" 1 NA "20140703" "3"
82 "stat padova" "110L" "100L" NA NA "20140703" "3"
83 "stat padova" "105" "105" NA NA "20140703" "3"
84 "stat padova" "97" "92" 2 NA "20140703" "3"
85 "stat Bicocca" "110L" "110L" 2 NA "20140703" "3"
86 "mat GE" "101" "97" 4 NA "20140703" "3"
87 "stat GE" "108" "100" 1 NA "20140703" "3"
88 "mat GE" "110L" "110L" 2 NA "20140703" "3"
89 "mat GE" "110" "107" 1 NA "20140703" "3"
90 "stat padova" "" "" NA NA "20140703" "3"
91 "stat padova" "103" "103" 2 NA "20140703" "3"
92 "stat padova" "" "" NA NA "20140703" "3"
93 "stat padova" "95" "91" 1 NA "20140703" "3"
94 "stat padova" "107" "107" 2 3 "20140703" "3"
95 "mat GE" "97" "100" 3 NA "20140703" "3"
96 "stat padova" "95" "107" 3 NA "20140703" "3"
97 "stat GE" "110L" "103" 2 NA "20140703" "3"
98 "stat padova" "91" "85" 4 NA "20140703" "3"
99 "stat padova" "93" "93" 2 NA "20140703" "3"
100 "stat GE" "107" "96" 1 NA "20140703" "3"
101 "econ azien BA" "102" "86" 3 NA "20140703" "3"
102 "stat padova" "107" "107" 1 NA "20140703" "3"
103 "stat padova" "110L" "105" 2 NA "20140703" "3"
104 "stat padova" "92" "98" 1 NA "20140703" "3"
105 "stat padova" "" "" NA NA "20140703" "3"
106 "stat padova" "" "" NA NA "20140703" "3"
107 "stat padova" "" "" NA NA "20140703" "3"
108 "stat padova" "110L" "110L" 1 3 "20140703" "3"
109 "stat BA" "110L" "92" 4 NA "20140703" "3"
110 "stat padova" "94" "96" 7 NA "20140703" "3"
111 "stat padova" "101" "" NA NA "20140703" "3"
1 "stat padova" "91" "95" 1 NA "20140703" "4"
2 "stat padova" "" "" 1 NA "20140703" "4"
3 "stat padova" "103" "103" 3 NA "20140703" "4"
4 "stat padova" "" "" NA NA "20140703" "4"
5 "stat padova" "110L" "110" 2 NA "20140703" "4"
6 "Econ. e manag. TN" "98" "101" 1 NA "20140703" "4"
7 "stat padova" "110L" "99" 1 NA "20140703" "4"
8 "stat padova" "110L" "110L" 1 NA "20140703" "4"
9 "stat padova" "98" "100" 3 NA "20140703" "4"
10 "stat padova" "106" "108" 2 NA "20140703" "4"
11 "stat VE" "110L" "110" 1 NA "20140703" "4"
12 "stat padova" "" "" NA NA "20140703" "4"
13 "stat padova" "110L" "110L" 3 NA "20140703" "4"
14 "stat padova" "108" "110L" 3 NA "20140703" "4"
15 "stat padova" "" "" NA NA "20140703" "4"
16 "stat padova" "105" "92" 1 NA "20140703" "4"
17 "stat bicocca" "104" "110L" 2 NA "20140703" "4"
18 "stat padova" "109" "97" 1 NA "20140703" "4"
19 "stat padova" "90" "84" 5 NA "20140703" "4"
20 "mat TN" "90" "102" 2 NA "20140703" "4"
21 "stat padova" "103" "110L" 3 NA "20140703" "4"
22 "mat CA" "110L" "110L" 1 NA "20140703" "4"
23 "stat padova" "110L" "100" 2 NA "20140703" "4"
24 "stat padova" "110L" "110" 1 NA "20140703" "4"
25 "stat bicocca" "110L" "96" 2 NA "20140703" "4"
26 "stat padova" "" "" NA NA "20140703" "4"
27 "stat padova" "" "" NA NA "20140703" "4"
28 "stat padova" "" "" NA NA "20140703" "4"
29 "stat padova" "107" "105" 3 NA "20140703" "4"
30 "stat padova" "94" "102" 1 NA "20140703" "4"
31 "stat padova" "102" "92" 3 NA "20140703" "4"
32 "stat padova" "106" "101" 2 NA "20140703" "4"
33 "stat padova" "110L" "110L" 2 NA "20140703" "4"
34 "stat NA" "110L" "106" 3 NA "20140703" "4"
35 "stat padova" "90" "91" 2 NA "20140703" "4"
36 "stat FI" "96" "93" 2 NA "20140703" "4"
37 "stat padova" "84" "" 3 NA "20140703" "4"
38 "mat CA" "106" "97" 1 NA "20140703" "4"
39 "stat padova" "105" "" 1 NA "20140703" "4"
40 "stat padova" "88" "91" 6 NA "20140703" "4"
41 "stat NA" "110L" "110L" 1 NA "20140703" "4"
42 "stat bicocca" "110L" "110L" 2 NA "20140703" "4"
43 "stat padova" "104" "93" 7 NA "20140703" "4"
44 "stat padova" "104" "99" 2 NA "20140703" "4"
45 "stat padova" "93" "" NA NA "20140703" "4"
46 "stat padova" "102" "103" 5 NA "20140703" "4"
47 "sociologia" "102" "110L" 2 NA "20140703" "4"
48 "stat padova" "106" "103" 2 NA "20140703" "4"
49 "stat padova" "110L" "102" 2 NA "20140703" "4"
50 "stat padova" "86" "96" 4 NA "20140703" "4"
51 "stat GE" "110L" "100" 1 NA "20140703" "4"
52 "stat padova" "107" "110L" 4 NA "20140703" "4"
53 "stat padova" "90" "94" 4 NA "20140703" "4"
54 "stat padova" "107" "110L" NA NA "20140703" "4"
55 "stat padova" "96" "92" 2 NA "20140703" "4"
56 "stat padova" "96" "94" 1 NA "20140703" "4"
57 "stat padova" "104" "100" 2 NA "20140703" "4"
58 "stat padova" "97" "93" 4 NA "20140703" "4"
59 "stat padova" "88" "92" 3 NA "20140703" "4"
60 "stat GE" "110" "99" 6 NA "20140703" "4"
61 "stat GE" "90" "84" 1 NA "20140703" "4"
62 "stat padova" "103" "92" 3 NA "20140703" "4"
63 "mat PD" "108" "110L" 1 NA "20140703" "4"
64 "stat padova" "" "" 4 NA "20140703" "4"
65 "stat padova" "110L" "102" 1 NA "20140703" "4"
66 "stat padova" "" "" NA NA "20140703" "4"
67 "stat padova" "" "" NA NA "20140703" "4"
68 "stat GE" "110" "104" 2 NA "20140703" "4"
69 "stat padova" "110L" "110L" 3 NA "20140703" "4"
70 "stat padova" "102" "96" 1 NA "20140703" "4"
71 "stat padova" "110L" "110L" 1 NA "20140703" "4"
72 "stat padova" "84" "98" 2 NA "20140703" "4"
73 "stat padova" "93" "" NA NA "20140703" "4"
74 "stat padova" "92" "91" 4 NA "20140703" "4"
75 "stat padova" "84" "" 2 NA "20140703" "4"
76 "stat padova" "110L" "110" NA NA "20140703" "4"
77 "stat padova" "102" "100" NA NA "20140703" "4"
78 "stat padova" "" "" NA NA "20140703" "4"
79 "stat BA" "102" "93" 1 NA "20140703" "4"
80 "stat BN" "110L" "110L" 1 NA "20140703" "4"
81 "stat padova" "108" "100" 1 NA "20140703" "4"
82 "stat padova" "110L" "100L" NA NA "20140703" "4"
83 "stat padova" "105" "105" NA NA "20140703" "4"
84 "stat padova" "97" "92" 2 NA "20140703" "4"
85 "stat Bicocca" "110L" "110L" 2 NA "20140703" "4"
86 "mat GE" "101" "97" 4 NA "20140703" "4"
87 "stat GE" "108" "100" 1 NA "20140703" "4"
88 "mat GE" "110L" "110L" 2 NA "20140703" "4"
89 "mat GE" "110" "107" 1 NA "20140703" "4"
90 "stat padova" "" "" NA NA "20140703" "4"
91 "stat padova" "103" "103" 2 NA "20140703" "4"
92 "stat padova" "" "" NA NA "20140703" "4"
93 "stat padova" "95" "91" 1 NA "20140703" "4"
94 "stat padova" "107" "107" 2 1 "20140703" "4"
95 "mat GE" "97" "100" 3 NA "20140703" "4"
96 "stat padova" "95" "107" 3 NA "20140703" "4"
97 "stat GE" "110L" "103" 2 NA "20140703" "4"
98 "stat padova" "91" "85" 4 NA "20140703" "4"
99 "stat padova" "93" "93" 2 NA "20140703" "4"
100 "stat GE" "107" "96" 1 NA "20140703" "4"
101 "econ azien BA" "102" "86" 3 NA "20140703" "4"
102 "stat padova" "107" "107" 1 NA "20140703" "4"
103 "stat padova" "110L" "105" 2 NA "20140703" "4"
104 "stat padova" "92" "98" 1 NA "20140703" "4"
105 "stat padova" "" "" NA NA "20140703" "4"
106 "stat padova" "" "" NA NA "20140703" "4"
107 "stat padova" "" "" NA NA "20140703" "4"
108 "stat padova" "110L" "110L" 1 1 "20140703" "4"
109 "stat BA" "110L" "92" 4 NA "20140703" "4"
110 "stat padova" "94" "96" 7 NA "20140703" "4"
111 "stat padova" "101" "" NA NA "20140703" "4"
1 "stat padova" "91" "95" 1 NA "20140703" "5"
2 "stat padova" "" "" 1 NA "20140703" "5"
3 "stat padova" "103" "103" 3 NA "20140703" "5"
4 "stat padova" "" "" NA NA "20140703" "5"
5 "stat padova" "110L" "110" 2 NA "20140703" "5"
6 "Econ. e manag. TN" "98" "101" 1 NA "20140703" "5"
7 "stat padova" "110L" "99" 1 NA "20140703" "5"
8 "stat padova" "110L" "110L" 1 NA "20140703" "5"
9 "stat padova" "98" "100" 3 NA "20140703" "5"
10 "stat padova" "106" "108" 2 NA "20140703" "5"
11 "stat VE" "110L" "110" 1 NA "20140703" "5"
12 "stat padova" "" "" NA NA "20140703" "5"
13 "stat padova" "110L" "110L" 3 NA "20140703" "5"
14 "stat padova" "108" "110L" 3 NA "20140703" "5"
15 "stat padova" "" "" NA NA "20140703" "5"
16 "stat padova" "105" "92" 1 NA "20140703" "5"
17 "stat bicocca" "104" "110L" 2 NA "20140703" "5"
18 "stat padova" "109" "97" 1 NA "20140703" "5"
19 "stat padova" "90" "84" 5 NA "20140703" "5"
20 "mat TN" "90" "102" 2 NA "20140703" "5"
21 "stat padova" "103" "110L" 3 NA "20140703" "5"
22 "mat CA" "110L" "110L" 1 NA "20140703" "5"
23 "stat padova" "110L" "100" 2 NA "20140703" "5"
24 "stat padova" "110L" "110" 1 NA "20140703" "5"
25 "stat bicocca" "110L" "96" 2 NA "20140703" "5"
26 "stat padova" "" "" NA NA "20140703" "5"
27 "stat padova" "" "" NA NA "20140703" "5"
28 "stat padova" "" "" NA NA "20140703" "5"
29 "stat padova" "107" "105" 3 NA "20140703" "5"
30 "stat padova" "94" "102" 1 NA "20140703" "5"
31 "stat padova" "102" "92" 3 NA "20140703" "5"
32 "stat padova" "106" "101" 2 NA "20140703" "5"
33 "stat padova" "110L" "110L" 2 NA "20140703" "5"
34 "stat NA" "110L" "106" 3 NA "20140703" "5"
35 "stat padova" "90" "91" 2 NA "20140703" "5"
36 "stat FI" "96" "93" 2 NA "20140703" "5"
37 "stat padova" "84" "" 3 NA "20140703" "5"
38 "mat CA" "106" "97" 1 NA "20140703" "5"
39 "stat padova" "105" "" 1 NA "20140703" "5"
40 "stat padova" "88" "91" 6 NA "20140703" "5"
41 "stat NA" "110L" "110L" 1 NA "20140703" "5"
42 "stat bicocca" "110L" "110L" 2 NA "20140703" "5"
43 "stat padova" "104" "93" 7 NA "20140703" "5"
44 "stat padova" "104" "99" 2 NA "20140703" "5"
45 "stat padova" "93" "" NA NA "20140703" "5"
46 "stat padova" "102" "103" 5 NA "20140703" "5"
47 "sociologia" "102" "110L" 2 NA "20140703" "5"
48 "stat padova" "106" "103" 2 NA "20140703" "5"
49 "stat padova" "110L" "102" 2 NA "20140703" "5"
50 "stat padova" "86" "96" 4 NA "20140703" "5"
51 "stat GE" "110L" "100" 1 NA "20140703" "5"
52 "stat padova" "107" "110L" 4 NA "20140703" "5"
53 "stat padova" "90" "94" 4 NA "20140703" "5"
54 "stat padova" "107" "110L" NA NA "20140703" "5"
55 "stat padova" "96" "92" 2 NA "20140703" "5"
56 "stat padova" "96" "94" 1 NA "20140703" "5"
57 "stat padova" "104" "100" 2 NA "20140703" "5"
58 "stat padova" "97" "93" 4 NA "20140703" "5"
59 "stat padova" "88" "92" 3 NA "20140703" "5"
60 "stat GE" "110" "99" 6 NA "20140703" "5"
61 "stat GE" "90" "84" 1 NA "20140703" "5"
62 "stat padova" "103" "92" 3 NA "20140703" "5"
63 "mat PD" "108" "110L" 1 NA "20140703" "5"
64 "stat padova" "" "" 4 NA "20140703" "5"
65 "stat padova" "110L" "102" 1 NA "20140703" "5"
66 "stat padova" "" "" NA NA "20140703" "5"
67 "stat padova" "" "" NA NA "20140703" "5"
68 "stat GE" "110" "104" 2 NA "20140703" "5"
69 "stat padova" "110L" "110L" 3 NA "20140703" "5"
70 "stat padova" "102" "96" 1 NA "20140703" "5"
71 "stat padova" "110L" "110L" 1 NA "20140703" "5"
72 "stat padova" "84" "98" 2 NA "20140703" "5"
73 "stat padova" "93" "" NA NA "20140703" "5"
74 "stat padova" "92" "91" 4 NA "20140703" "5"
75 "stat padova" "84" "" 2 NA "20140703" "5"
76 "stat padova" "110L" "110" NA NA "20140703" "5"
77 "stat padova" "102" "100" NA NA "20140703" "5"
78 "stat padova" "" "" NA NA "20140703" "5"
79 "stat BA" "102" "93" 1 NA "20140703" "5"
80 "stat BN" "110L" "110L" 1 NA "20140703" "5"
81 "stat padova" "108" "100" 1 NA "20140703" "5"
82 "stat padova" "110L" "100L" NA NA "20140703" "5"
83 "stat padova" "105" "105" NA NA "20140703" "5"
84 "stat padova" "97" "92" 2 NA "20140703" "5"
85 "stat Bicocca" "110L" "110L" 2 NA "20140703" "5"
86 "mat GE" "101" "97" 4 NA "20140703" "5"
87 "stat GE" "108" "100" 1 NA "20140703" "5"
88 "mat GE" "110L" "110L" 2 NA "20140703" "5"
89 "mat GE" "110" "107" 1 NA "20140703" "5"
90 "stat padova" "" "" NA NA "20140703" "5"
91 "stat padova" "103" "103" 2 NA "20140703" "5"
92 "stat padova" "" "" NA NA "20140703" "5"
93 "stat padova" "95" "91" 1 NA "20140703" "5"
94 "stat padova" "107" "107" 2 3 "20140703" "5"
95 "mat GE" "97" "100" 3 NA "20140703" "5"
96 "stat padova" "95" "107" 3 NA "20140703" "5"
97 "stat GE" "110L" "103" 2 NA "20140703" "5"
98 "stat padova" "91" "85" 4 NA "20140703" "5"
99 "stat padova" "93" "93" 2 NA "20140703" "5"
100 "stat GE" "107" "96" 1 NA "20140703" "5"
101 "econ azien BA" "102" "86" 3 NA "20140703" "5"
102 "stat padova" "107" "107" 1 NA "20140703" "5"
103 "stat padova" "110L" "105" 2 NA "20140703" "5"
104 "stat padova" "92" "98" 1 NA "20140703" "5"
105 "stat padova" "" "" NA NA "20140703" "5"
106 "stat padova" "" "" NA NA "20140703" "5"
107 "stat padova" "" "" NA NA "20140703" "5"
108 "stat padova" "110L" "110L" 1 3 "20140703" "5"
109 "stat BA" "110L" "92" 4 NA "20140703" "5"
110 "stat padova" "94" "96" 7 NA "20140703" "5"
111 "stat padova" "101" "" NA NA "20140703" "5"
1 "stat padova" "91" "95" 1 NA "20140703" "6"
2 "stat padova" "" "" 1 NA "20140703" "6"
3 "stat padova" "103" "103" 3 NA "20140703" "6"
4 "stat padova" "" "" NA NA "20140703" "6"
5 "stat padova" "110L" "110" 2 NA "20140703" "6"
6 "Econ. e manag. TN" "98" "101" 1 NA "20140703" "6"
7 "stat padova" "110L" "99" 1 NA "20140703" "6"
8 "stat padova" "110L" "110L" 1 NA "20140703" "6"
9 "stat padova" "98" "100" 3 NA "20140703" "6"
10 "stat padova" "106" "108" 2 NA "20140703" "6"
11 "stat VE" "110L" "110" 1 NA "20140703" "6"
12 "stat padova" "" "" NA NA "20140703" "6"
13 "stat padova" "110L" "110L" 3 NA "20140703" "6"
14 "stat padova" "108" "110L" 3 NA "20140703" "6"
15 "stat padova" "" "" NA NA "20140703" "6"
16 "stat padova" "105" "92" 1 NA "20140703" "6"
17 "stat bicocca" "104" "110L" 2 NA "20140703" "6"
18 "stat padova" "109" "97" 1 NA "20140703" "6"
19 "stat padova" "90" "84" 5 NA "20140703" "6"
20 "mat TN" "90" "102" 2 NA "20140703" "6"
21 "stat padova" "103" "110L" 3 NA "20140703" "6"
22 "mat CA" "110L" "110L" 1 NA "20140703" "6"
23 "stat padova" "110L" "100" 2 NA "20140703" "6"
24 "stat padova" "110L" "110" 1 NA "20140703" "6"
25 "stat bicocca" "110L" "96" 2 NA "20140703" "6"
26 "stat padova" "" "" NA NA "20140703" "6"
27 "stat padova" "" "" NA NA "20140703" "6"
28 "stat padova" "" "" NA NA "20140703" "6"
29 "stat padova" "107" "105" 3 NA "20140703" "6"
30 "stat padova" "94" "102" 1 NA "20140703" "6"
31 "stat padova" "102" "92" 3 NA "20140703" "6"
32 "stat padova" "106" "101" 2 NA "20140703" "6"
33 "stat padova" "110L" "110L" 2 NA "20140703" "6"
34 "stat NA" "110L" "106" 3 NA "20140703" "6"
35 "stat padova" "90" "91" 2 NA "20140703" "6"
36 "stat FI" "96" "93" 2 NA "20140703" "6"
37 "stat padova" "84" "" 3 NA "20140703" "6"
38 "mat CA" "106" "97" 1 NA "20140703" "6"
39 "stat padova" "105" "" 1 NA "20140703" "6"
40 "stat padova" "88" "91" 6 NA "20140703" "6"
41 "stat NA" "110L" "110L" 1 NA "20140703" "6"
42 "stat bicocca" "110L" "110L" 2 NA "20140703" "6"
43 "stat padova" "104" "93" 7 NA "20140703" "6"
44 "stat padova" "104" "99" 2 NA "20140703" "6"
45 "stat padova" "93" "" NA NA "20140703" "6"
46 "stat padova" "102" "103" 5 NA "20140703" "6"
47 "sociologia" "102" "110L" 2 NA "20140703" "6"
48 "stat padova" "106" "103" 2 NA "20140703" "6"
49 "stat padova" "110L" "102" 2 NA "20140703" "6"
50 "stat padova" "86" "96" 4 NA "20140703" "6"
51 "stat GE" "110L" "100" 1 NA "20140703" "6"
